experiment,Run,run_key,n_positions,n_unique_positions,ap,vc,f,TCond,Fx,Fy,Fz,F,Ra_mean,Ra_std,Rsk_mean,Rsk_std,Rku_mean,Rku_std,RSm_mean,RSm_std,Rt_mean,Rt_std,Tool,Condition,mrr_proxy,condition_key
Exp1,1_071_B3_19_b,Exp1:1_071_B3_19_b,6,0,0.8,310.0,0.07,0.0,165.7,62.01,122.1,214.9654393,0.652,0.05803102618427492,0.18716666666666668,0.10242932522801595,1.7129999999999999,0.06629630457272867,70.2,0.7589466384404101,2.6491666666666664,0.2466125841612034,71,19,17.360000000000003,0.8|310|0.07|0
Exp1,1_071_B3_20_a,Exp1:1_071_B3_20_a,6,0,0.8,310.0,0.1,0.0,224.2,77.48,227.5,328.6716301,0.9630000000000001,0.034951394821952364,0.25266666666666665,0.07021585765812924,1.8406666666666667,0.056216249133739564,100.21666666666668,1.0962055768270227,4.2058333333333335,0.12409579632955596,71,20,24.800000000000004,0.8|310|0.1|0
Exp1,1_071_B3_21_c,Exp1:1_071_B3_21_c,6,0,0.8,310.0,0.13,0.0,289.6,96.77,222.1,377.5725134,0.9285,0.004969909455915675,0.5763333333333334,0.08283638492031545,2.6348333333333334,0.04886887216487268,130.6,3.8439562952770436,4.7155,0.07236781052374056,71,21,32.24,0.8|310|0.13|0
Exp1,1_071_B3_22_d,Exp1:1_071_B3_22_d,6,0,0.8,350.0,0.07,0.0,172.4,59.8,126.3,221.9222612,0.5696666666666667,0.01658513390559949,0.09250000000000001,0.04146685423323067,1.6851666666666665,0.03975634121327901,70.7,0.282842712474616,2.4351666666666665,0.032021347046410666,71,22,19.6,0.8|350|0.07|0
Exp1,1_071_B3_23_f,Exp1:1_071_B3_23_f,6,0,0.8,350.0,0.1,0.0,231.4,78.87,224.3,331.7784304,0.6795,0.02241205033012372,-0.065,0.035977770914830176,1.7201666666666668,0.015237016330852508,101.38333333333334,0.3868677637987764,2.8343333333333334,0.08055226046900651,71,23,28.000000000000007,0.8|350|0.1|0
Exp1,1_071_B3_24_e,Exp1:1_071_B3_24_e,6,0,0.8,350.0,0.13,0.0,288.5,97.54,218.6,374.8763284,0.8704999999999999,0.023964557162609975,0.6061666666666666,0.07823405055771215,2.6318333333333332,0.06716075242778828,126.83333333333333,8.38037389778443,4.318833333333334,0.08606373607197558,71,24,36.400000000000006,0.8|350|0.13|0
Exp1,1_071_B3_25_g,Exp1:1_071_B3_25_g,6,0,0.8,390.0,0.07,0.0,175.1,62.81,125.2,224.2323485,0.4675,0.023780243901188224,0.24983333333333335,0.05087009599623995,2.0696666666666665,0.06953176732017294,70.76666666666667,0.6501281924871928,2.3565,0.16631025223960177,71,25,21.840000000000003,0.8|390|0.07|0
Exp1,1_071_B3_26_i,Exp1:1_071_B3_26_i,6,0,0.8,390.0,0.1,0.0,236.9,77.17,223.4,334.6406713,0.5808333333333334,0.025356787388521162,-0.16266666666666665,0.08956487406716244,1.7913333333333334,0.07199629620103148,97.89999999999999,9.275774900244185,2.5421666666666667,0.1265044136252434,71,26,31.200000000000006,0.8|390|0.1|0
Exp1,1_071_B3_27_h,Exp1:1_071_B3_27_h,6,0,0.8,390.0,0.13,0.0,288.6,98.16,213.6,372.2234619,0.8353333333333333,0.010930080817023582,0.5585,0.07006782428475998,2.4048333333333334,0.05449556556883026,128.78333333333333,7.428974805897963,3.933,0.055335341329027565,71,27,40.56,0.8|390|0.13|0
Exp2,2_013_L4_13_b,Exp2:2_013_L4_13_b,6,0,0.5,350.0,0.07,0.1,117.9,89.53,75.31,166.0952347,0.6013333333333334,0.06341188111597593,0.12816666666666668,0.05496695977281867,1.6485,0.08028387135658069,70.5,1.0139033484509268,2.406333333333333,0.14967921254024105,13,13,12.250000000000002,0.5|350|0.07|0.1
Exp2,2_013_L4_13_f,Exp2:2_013_L4_13_f,6,0,0.5,350.0,0.07,0.1,114.3,79.79,73.01,157.3575362,0.62,0.017227884373886438,0.12366666666666666,0.03189148266648427,1.5796666666666666,0.022150996967781555,70.48333333333333,0.38686776379877813,2.4243333333333332,0.11923030934568042,13,13,12.250000000000002,0.5|350|0.07|0.1
Exp2,2_013_L4_14_a,Exp2:2_013_L4_14_a,6,0,0.5,350.0,0.09,0.1,145.1,110.1,88.58,202.5399625,0.7053333333333334,0.05875258859545396,0.17600000000000002,0.0699056507014991,1.8368333333333335,0.10120161395287461,88.33333333333333,2.576561015514024,3.2135,0.3051286613872909,13,14,15.75,0.5|350|0.09|0.1
Exp2,2_013_L4_14_g,Exp2:2_013_L4_14_g,6,0,0.5,350.0,0.09,0.1,137.8,89.44,79.55,182.5282337,0.674,0.0056920997883030885,-0.05099999999999999,0.05559496380068972,1.4685,0.023338808881346148,90.56666666666666,1.5983324643723746,2.5003333333333333,0.0849886266900852,13,14,15.75,0.5|350|0.09|0.1
Exp2,2_013_L4_15_e,Exp2:2_013_L4_15_e,6,0,0.5,350.0,0.11,0.1,162.2,105.2,86.88,211.9528589,0.6973333333333332,0.0034448028487370197,-0.09949999999999999,0.09105767403135225,1.806,0.0565720779183512,107.48333333333333,3.3174789625055126,3.145666666666667,0.23657697831079558,13,15,19.25,0.5|350|0.11|0.1
Exp2,2_013_L4_15_h,Exp2:2_013_L4_15_h,6,0,0.5,350.0,0.11,0.1,161.3,100.5,84.26,207.8886423,0.7521666666666667,0.01506541292718746,-0.2386666666666667,0.045946345520255116,1.5888333333333333,0.03685331283163927,109.98333333333333,1.5816657885491077,3.045666666666667,0.17248381566589557,13,15,19.25,0.5|350|0.11|0.1
Exp2,2_013_L4_16_c,Exp2:2_013_L4_16_c,6,0,0.5,350.0,0.13,0.1,181.3,121.6,89.72,236.0210338,0.9191666666666666,0.037080542966179256,0.4498333333333333,0.1475078528983005,2.1385,0.20190170875948524,130.95,2.1519758362955694,4.575833333333333,0.5695757778089467,13,16,22.75,0.5|350|0.13|0.1
Exp2,2_013_L4_16_d,Exp2:2_013_L4_16_d,6,0,0.5,350.0,0.13,0.1,185.2,117.6,91.08,237.5381367,0.8163333333333332,0.02773926218677537,0.603,0.11140915581764364,2.3378333333333337,0.17746934007503007,129.9333333333333,2.8324312289386007,3.8821666666666665,0.16040874872233954,13,16,22.75,0.5|350|0.13|0.1
Exp2,2_023_L5_17_a,Exp2:2_023_L5_17_a,6,0,0.25,350.0,0.07,0.3,95.69,201.9,101.2,245.2786703,0.5065000000000001,0.05139941633909863,0.8936666666666667,0.12493304873678004,2.7118333333333333,0.16965307738637306,70.16666666666667,1.0984838035522717,2.7761666666666662,0.24473529918396872,23,17,6.125000000000001,0.25|350|0.07|0.3
Exp2,2_023_L5_17_c,Exp2:2_023_L5_17_c,6,0,0.25,350.0,0.07,0.3,94.42,190.1,93.19,231.8135512,0.6441666666666667,0.07260693263502228,0.5713333333333334,0.1193711299547201,2.5496666666666665,0.251031206559397,70.11666666666667,0.8588752334691365,3.564833333333334,0.1699122322455528,23,17,6.125000000000001,0.25|350|0.07|0.3
Exp2,2_023_L5_18_b,Exp2:2_023_L5_18_b,6,0,0.25,350.0,0.09,0.3,107.0,193.4,93.72,240.074985,0.6523333333333333,0.033755987123274385,0.6176666666666667,0.12521128809602858,2.5236666666666663,0.17270630175725102,88.96666666666665,3.299494910841154,3.5071666666666665,0.40299400326390294,23,18,7.875,0.25|350|0.09|0.3
Exp2,2_023_L5_18_g,Exp2:2_023_L5_18_g,6,0,0.25,350.0,0.09,0.3,106.6,173.0,85.26,220.3674831,0.4708333333333334,0.008953584012375511,1.1043333333333332,0.08199430874558716,3.326333333333333,0.1813203426719315,90.14999999999999,0.6715653356152342,2.7285000000000004,0.13263596797249233,23,18,7.875,0.25|350|0.09|0.3
Exp2,2_023_L5_19_e,Exp2:2_023_L5_19_e,6,0,0.25,350.0,0.11,0.3,117.5,187.5,90.15,238.9341384,0.6549999999999999,0.02996664812754338,0.6988333333333334,0.07046535791909857,2.293833333333333,0.11449090211307919,109.31666666666666,3.370113746843964,3.19,0.2956714392700112,23,19,9.625,0.25|350|0.11|0.3
Exp2,2_023_L5_19_f,Exp2:2_023_L5_19_f,6,0,0.25,350.0,0.11,0.3,117.5,182.8,87.15,234.1307594,0.5861666666666666,0.01605511341182824,0.7531666666666669,0.1133762173767791,2.3765,0.22203040332350887,107.48333333333335,1.7826010957773655,3.155,0.21717642597667,23,19,9.625,0.25|350|0.11|0.3
Exp2,2_023_L5_20_d,Exp2:2_023_L5_20_d,6,0,0.25,350.0,0.13,0.3,128.6,191.0,90.33,247.3428166,0.9771666666666666,0.023430037700922883,0.6693333333333333,0.10546026107812681,2.2583333333333333,0.13080316000260334,129.95000000000002,3.8511037378912527,4.3905,0.1411336246257426,23,20,11.375,0.25|350|0.13|0.3
Exp2,2_023_L5_20_h,Exp2:2_023_L5_20_h,6,0,0.25,350.0,0.13,0.3,127.8,181.1,88.08,238.5123401,0.8121666666666667,0.03437683328444703,0.7316666666666668,0.0713797356864444,2.323166666666667,0.12212029588347167,128.95000000000002,3.3464906992250887,3.8626666666666662,0.0963445206883436,23,20,11.375,0.25|350|0.13|0.3
Exp2,2_033_L3_10_f,Exp2:2_033_L3_10_f,6,0,0.25,350.0,0.09,0.1,84.33,83.26,39.29,124.8498322,0.4091666666666667,0.03127565613487055,0.14733333333333332,0.12365543524919019,1.9573333333333334,0.03300101008555144,50.63333333333333,8.92270512045908,1.9591666666666665,0.11743494653069282,33,10,7.875,0.25|350|0.09|0.1
Exp2,2_033_L3_10_h,Exp2:2_033_L3_10_h,6,0,0.25,350.0,0.09,0.1,84.6,81.94,39.65,124.2716625,0.4561666666666668,0.010980285363626342,0.03266666666666667,0.04222637406487404,1.9403333333333335,0.036778616975991246,51.25,4.218886108915479,2.1719999999999997,0.07799487162628063,33,10,7.875,0.25|350|0.09|0.1
